word	link
반짝이다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732385/MOV000254278_700X466.mp4
세례	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160107/241898/MOV000254246_700X466.mp4
원금	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/287521/MOV000292377_700X466.mp4
자금	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/287521/MOV000292377_700X466.mp4
원가	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/287521/MOV000292377_700X466.mp4
본전	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/287521/MOV000292377_700X466.mp4
전과	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220801/1004447/MOV000359636_700X466.mp4
고백	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251746/MOV000264194_700X466.mp4
고해	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251746/MOV000264194_700X466.mp4
맥주	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191016/628088/MOV000250671_700X466.mp4
등대	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/734924/MOV000251062_700X466.mp4
광탑	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/734924/MOV000251062_700X466.mp4
빵	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191014/627313/MOV000253637_700X466.mp4
선전	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735624/MOV000253560_700X466.mp4
대화	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191011/626637/MOV000251878_700X466.mp4
대담	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191011/626637/MOV000251878_700X466.mp4
별	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191011/626612/MOV000253456_700X466.mp4
불평	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/734838/MOV000252931_700X466.mp4
신기록	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160109/243298/MOV000257014_700X466.mp4
행사장	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151230/237526/MOV000246888_700X466.mp4
새해	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191011/626514/MOV000252840_700X466.mp4
신년	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191011/626514/MOV000252840_700X466.mp4
본질	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
본성	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
근성	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
부성	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
부질	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
본바탕	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
성근	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
솔성	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
천질	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
체성	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
품성	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
품질	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
고발	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735167/MOV000247372_700X466.mp4
고자질	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735167/MOV000247372_700X466.mp4
일러바치다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735167/MOV000247372_700X466.mp4
날리다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201211/785151/MOV000356999_700X466.mp4
근본	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001878/MOV000359455_700X466.mp4
기반	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001878/MOV000359455_700X466.mp4
기본	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001878/MOV000359455_700X466.mp4
기초	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001878/MOV000359455_700X466.mp4
바탕	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001878/MOV000359455_700X466.mp4
뿌리	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001878/MOV000359455_700X466.mp4
새어머니	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151130/219480/MOV000238717_700X466.mp4
새아버지	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151130/219478/MOV000238713_700X466.mp4
빵집	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201211/785101/MOV000356973_700X466.mp4
광	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764368/MOV000240719_700X466.mp4
광선	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764368/MOV000240719_700X466.mp4
라이트	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764368/MOV000240719_700X466.mp4
빛	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764368/MOV000240719_700X466.mp4
조명	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764368/MOV000240719_700X466.mp4
비추다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764368/MOV000240719_700X466.mp4
비치다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764368/MOV000240719_700X466.mp4
신도시	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220801/1005041/MOV000359770_700X466.mp4
혁신	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151126/216922/MOV000237564_700X466.mp4
게우다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735821/MOV000237256_700X466.mp4
구토	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735821/MOV000237256_700X466.mp4
토하다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735821/MOV000237256_700X466.mp4
제과점	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764359/MOV000235331_700X466.mp4
빵집	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764359/MOV000235331_700X466.mp4
오케이	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200819/731450/MOV000234911_700X466.mp4
망신	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735787/MOV000252640_700X466.mp4
체면을 구기다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735787/MOV000252640_700X466.mp4
뇌물을 주다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732695/MOV000252594_700X466.mp4
매수	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732695/MOV000252594_700X466.mp4
수뢰	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764391/MOV000253017_700X466.mp4
뇌물을 받다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764391/MOV000253017_700X466.mp4
고등	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735065/MOV000250214_700X466.mp4
고급	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001959/MOV000359536_700X466.mp4
문법	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009677/MOV000359987_700X466.mp4
글월	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/632018/MOV000249178_700X466.mp4
문	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/632018/MOV000249178_700X466.mp4
문구	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/632018/MOV000249178_700X466.mp4
