,word	link
35,레바논	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160104/240577/MOV000251636_700X466.mp4
36,화산	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735031/MOV000237306_700X466.mp4
37,보석상	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201229/792741/MOV000357964_700X466.mp4
38,겹치다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735024/MOV000260214_700X466.mp4
39,장군	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160110/244116/MOV000258629_700X466.mp4
40,축사	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201224/791314/MOV000357961_700X466.mp4
41,축하사	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201224/791314/MOV000357961_700X466.mp4
42,원래	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200811/727682/MOV000255459_700X466.mp4
43,본래	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200811/727682/MOV000255459_700X466.mp4
44,식	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629983/MOV000259307_700X466.mp4
45,축하	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629983/MOV000259307_700X466.mp4
46,잔치	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629983/MOV000259307_700X466.mp4
47,행사	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629983/MOV000259307_700X466.mp4
48,파티	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629983/MOV000259307_700X466.mp4
49,(화학)실험	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220801/1004600/MOV000359680_700X466.mp4
50,기금	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220812/1010130/MOV000360119_700X466.mp4
51,기본금	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220812/1010130/MOV000360119_700X466.mp4
52,유행	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629498/MOV000256043_700X466.mp4
53,신문사	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732397/MOV000257141_700X466.mp4
54,신문	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732396/MOV000257139_700X466.mp4
55,오해	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735662/MOV000256616_700X466.mp4
56,곡해	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735662/MOV000256616_700X466.mp4
57,반짝	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732385/MOV000254278_700X466.mp4
58,반짝이다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732385/MOV000254278_700X466.mp4
59,세례	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160107/241898/MOV000254246_700X466.mp4
60,원금	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/287521/MOV000292377_700X466.mp4
61,자금	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/287521/MOV000292377_700X466.mp4
62,원가	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/287521/MOV000292377_700X466.mp4
63,본전	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/287521/MOV000292377_700X466.mp4
64,전과	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220801/1004447/MOV000359636_700X466.mp4
65,고백	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251746/MOV000264194_700X466.mp4
66,고해	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251746/MOV000264194_700X466.mp4
67,맥주	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191016/628088/MOV000250671_700X466.mp4
68,등대	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/734924/MOV000251062_700X466.mp4
69,광탑	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/734924/MOV000251062_700X466.mp4
70,빵	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191014/627313/MOV000253637_700X466.mp4
71,선전	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735624/MOV000253560_700X466.mp4
72,대화	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191011/626637/MOV000251878_700X466.mp4
73,대담	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191011/626637/MOV000251878_700X466.mp4
74,별	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191011/626612/MOV000253456_700X466.mp4
75,불평	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/734838/MOV000252931_700X466.mp4
76,신기록	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160109/243298/MOV000257014_700X466.mp4
77,행사장	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151230/237526/MOV000246888_700X466.mp4
78,새해	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191011/626514/MOV000252840_700X466.mp4
79,신년	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191011/626514/MOV000252840_700X466.mp4
80,본질	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
81,본성	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
82,근성	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
83,부성	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
84,부질	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
85,본바탕	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
86,성근	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
87,솔성	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
88,천질	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
89,체성	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
90,품성	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
91,품질	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
92,고발	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735167/MOV000247372_700X466.mp4
93,고자질	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735167/MOV000247372_700X466.mp4
94,일러바치다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735167/MOV000247372_700X466.mp4
95,날리다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201211/785151/MOV000356999_700X466.mp4
96,근본	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001878/MOV000359455_700X466.mp4
97,기반	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001878/MOV000359455_700X466.mp4
98,기본	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001878/MOV000359455_700X466.mp4
99,기초	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001878/MOV000359455_700X466.mp4
100,바탕	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001878/MOV000359455_700X466.mp4
101,뿌리	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001878/MOV000359455_700X466.mp4
102,새어머니	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151130/219480/MOV000238717_700X466.mp4
103,새아버지	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151130/219478/MOV000238713_700X466.mp4
104,빵집	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201211/785101/MOV000356973_700X466.mp4
105,광	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764368/MOV000240719_700X466.mp4
106,광선	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764368/MOV000240719_700X466.mp4
107,라이트	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764368/MOV000240719_700X466.mp4
108,빛	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764368/MOV000240719_700X466.mp4
109,조명	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764368/MOV000240719_700X466.mp4
110,비추다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764368/MOV000240719_700X466.mp4
111,비치다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764368/MOV000240719_700X466.mp4
112,신도시	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220801/1005041/MOV000359770_700X466.mp4
113,혁신	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151126/216922/MOV000237564_700X466.mp4
114,게우다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735821/MOV000237256_700X466.mp4
115,구토	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735821/MOV000237256_700X466.mp4
116,토하다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735821/MOV000237256_700X466.mp4
117,제과점	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764359/MOV000235331_700X466.mp4
118,빵집	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764359/MOV000235331_700X466.mp4
119,오케이	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200819/731450/MOV000234911_700X466.mp4
120,망신	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735787/MOV000252640_700X466.mp4
121,체면을 구기다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735787/MOV000252640_700X466.mp4
122,뇌물을 주다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732695/MOV000252594_700X466.mp4
123,매수	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732695/MOV000252594_700X466.mp4
124,수뢰	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764391/MOV000253017_700X466.mp4
125,뇌물을 받다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764391/MOV000253017_700X466.mp4
126,고등	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735065/MOV000250214_700X466.mp4
